cognome_nome,url,gruppo,cognome,nome,sesso
Abbate Ignazio,https://www.ars.sicilia.it/deputati/abbate-ignazio?idLeg=71,Democrazia Cristiana,Abbate,Ignazio,maschio
Adorno Erminia Lidia,https://www.ars.sicilia.it/deputati/adorno-erminia-lidia?idLeg=71,Movimento 5 Stelle,Adorno,Erminia Lidia,femmina
Albano Nunzia,https://www.ars.sicilia.it/deputati/albano-nunzia?idLeg=71,Democrazia Cristiana,Albano,Nunzia,femmina
Amata Elvira,https://www.ars.sicilia.it/deputati/amata-elvira?idLeg=71,Fratelli d'Italia XVIII Legislatura,Amata,Elvira,femmina
Aricò Alessandro,https://www.ars.sicilia.it/deputati/arico-alessandro?idLeg=71,Fratelli d'Italia XVIII Legislatura,Aricò,Alessandro,maschio
Assenza Giorgio,https://www.ars.sicilia.it/deputati/assenza-giorgio?idLeg=71,Fratelli d'Italia XVIII Legislatura,Assenza,Giorgio,maschio
Auteri Carlo,https://www.ars.sicilia.it/deputati/auteri-carlo?idLeg=71,Misto,Auteri,Carlo,maschio
Balsamo Ludovico,https://www.ars.sicilia.it/deputati/balsamo-ludovico?idLeg=71,Popolari e Autonomisti,Balsamo,Ludovico,maschio
Bica Giuseppe,https://www.ars.sicilia.it/deputati/bica-giuseppe?idLeg=71,Fratelli d'Italia XVIII Legislatura,Bica,Giuseppe,maschio
Burtone Giovanni,https://www.ars.sicilia.it/deputati/burtone-giovanni?idLeg=71,Partito Democratico XVIII Legislatura,Burtone,Giovanni,maschio
Cambiano Angelo,https://www.ars.sicilia.it/deputati/cambiano-angelo?idLeg=71,Movimento 5 Stelle,Cambiano,Angelo,maschio
Campo Stefania,https://www.ars.sicilia.it/deputati/campo-stefania?idLeg=71,Movimento 5 Stelle,Campo,Stefania,femmina
Caronia Maria Anna,https://www.ars.sicilia.it/deputati/caronia-maria-anna?idLeg=71,Misto,Caronia,Maria Anna,femmina
Carta Giuseppe,https://www.ars.sicilia.it/deputati/carta-giuseppe?idLeg=71,Popolari e Autonomisti,Carta,Giuseppe,maschio
Castiglione Giuseppe,https://www.ars.sicilia.it/deputati/castiglione-giuseppe-0?idLeg=71,Popolari e Autonomisti,Castiglione,Giuseppe,maschio
Catanzaro Michele,https://www.ars.sicilia.it/deputati/catanzaro-michele?idLeg=71,Partito Democratico XVIII Legislatura,Catanzaro,Michele,maschio
Chinnici Valentina,https://www.ars.sicilia.it/deputati/chinnici-valentina?idLeg=71,Partito Democratico XVIII Legislatura,Chinnici,Valentina,femmina
Ciminnisi Cristina,https://www.ars.sicilia.it/deputati/ciminnisi-cristina?idLeg=71,Movimento 5 Stelle,Ciminnisi,Cristina,femmina
Cracolici Antonino,https://www.ars.sicilia.it/deputati/cracolici-antonino?idLeg=71,Partito Democratico XVIII Legislatura,Cracolici,Antonino,maschio
D'Agostino Nicola,https://www.ars.sicilia.it/deputati/dagostino-nicola?idLeg=71,Forza Italia all'ARS,D'Agostino,Nicola,maschio
Daidone Letterio Dario,https://www.ars.sicilia.it/deputati/daidone-letterio-dario?idLeg=71,Fratelli d'Italia XVIII Legislatura,Daidone,Letterio Dario,maschio
De Leo Alessandro,https://www.ars.sicilia.it/deputati/de-leo-alessandro?idLeg=71,Forza Italia all'ARS,De Leo,Alessandro,maschio
De Luca Antonino,https://www.ars.sicilia.it/deputati/de-luca-antonino?idLeg=71,Movimento 5 Stelle,De Luca,Antonino,maschio
De Luca Cateno,https://www.ars.sicilia.it/deputati/de-luca-cateno?idLeg=71,Sud chiama Nord,De Luca,Cateno,maschio
Di Mauro Giovanni,https://www.ars.sicilia.it/deputati/di-mauro-giovanni?idLeg=71,Popolari e Autonomisti,Di Mauro,Giovanni,maschio
Di Paola Nunzio,https://www.ars.sicilia.it/deputati/di-paola-nunzio?idLeg=71,Movimento 5 Stelle,Di Paola,Nunzio,maschio
Dipasquale Emanuele,https://www.ars.sicilia.it/deputati/dipasquale-emanuele?idLeg=71,Partito Democratico XVIII Legislatura,Dipasquale,Emanuele,maschio
Ferrara Fabrizio,https://www.ars.sicilia.it/deputati/ferrara-fabrizio?idLeg=71,Fratelli d'Italia XVIII Legislatura,Ferrara,Fabrizio,maschio
Figuccia Vincenzo,https://www.ars.sicilia.it/deputati/figuccia-vincenzo?idLeg=71,Prima l'Italia - Lega Salvini Premier,Figuccia,Vincenzo,maschio
Gallo Riccardo Antonio,https://www.ars.sicilia.it/deputati/gallo-riccardo-antonio?idLeg=71,Forza Italia all'ARS,Gallo,Riccardo Antonio,maschio
Galluzzo Giuseppe,https://www.ars.sicilia.it/deputati/galluzzo-giuseppe?idLeg=71,Fratelli d'Italia XVIII Legislatura,Galluzzo,Giuseppe,maschio
Galvagno Gaetano,https://www.ars.sicilia.it/deputati/galvagno-gaetano?idLeg=71,Fratelli d'Italia XVIII Legislatura,Galvagno,Gaetano,maschio
Gennuso Riccardo,https://www.ars.sicilia.it/deputati/gennuso-riccardo?idLeg=71,Forza Italia all'ARS,Gennuso,Riccardo,maschio
Geraci Salvatore,https://www.ars.sicilia.it/deputati/geraci-salvatore?idLeg=71,Prima l'Italia - Lega Salvini Premier,Geraci,Salvatore,maschio
Giambona Mario,https://www.ars.sicilia.it/deputati/giambona-mario?idLeg=71,Partito Democratico XVIII Legislatura,Giambona,Mario,maschio
Gilistro Carlo,https://www.ars.sicilia.it/deputati/gilistro-carlo?idLeg=71,Movimento 5 Stelle,Gilistro,Carlo,maschio
Grasso Bernardette Felice,https://www.ars.sicilia.it/deputati/grasso-bernardette-felice?idLeg=71,Forza Italia all'ARS,Grasso,Bernardette Felice,femmina
Intravaia Marco,https://www.ars.sicilia.it/deputati/intravaia-marco?idLeg=71,Forza Italia all'ARS,Intravaia,Marco,maschio
La Rocca Margherita,https://www.ars.sicilia.it/deputati/la-rocca-margherita?idLeg=71,Forza Italia all'ARS,La Rocca,Margherita,femmina
La Vardera Ismaele,https://www.ars.sicilia.it/deputati/la-vardera-ismaele?idLeg=71,Misto,La Vardera,Ismaele,maschio
Laccoto Giuseppe,https://www.ars.sicilia.it/deputati/laccoto-giuseppe?idLeg=71,Prima l'Italia - Lega Salvini Premier,Laccoto,Giuseppe,maschio
Lantieri Annunziata Luisa,https://www.ars.sicilia.it/deputati/lantieri-annunziata-luisa?idLeg=71,Forza Italia all'ARS,Lantieri,Annunziata Luisa,femmina
Leanza Calogero,https://www.ars.sicilia.it/deputati/leanza-calogero?idLeg=71,Partito Democratico XVIII Legislatura,Leanza,Calogero,maschio
Lombardo Giuseppe,https://www.ars.sicilia.it/deputati/lombardo-giuseppe?idLeg=71,Sud chiama Nord,Lombardo,Giuseppe,maschio
