componente,presenze,assenze,congedi_missioni,periodo,componente_raw,periodo_sort,file,url_download,data_download
Abbate,15,0,0,"2024-10,2024-12",Abbate **,2024-12_2024-10,PRESENZE AMMINISTRATIVE DEPUTATI quarto trimestre 2024.pdf,https://www.ars.sicilia.it/sites/default/files/downloads/2025-03/PRESENZE%20AMMINISTRATIVE%20DEPUTATI%20quarto%20trimestre%202024.pdf,20250419
Abbate,15,0,0,"2024-10,2024-12",Abbate **,2024-12_2024-10,PRESENZE AMMINISTRATIVE DEPUTATI quarto trimestre 2024.pdf,https://www.ars.sicilia.it/sites/default/files/downloads/2025-03/PRESENZE%20AMMINISTRATIVE%20DEPUTATI%20quarto%20trimestre%202024.pdf,20250419
Adorno,5,3,0,"2024-10,2024-12",Adorno (1),2024-12_2024-10,PRESENZE AMMINISTRATIVE DEPUTATI quarto trimestre 2024.pdf,https://www.ars.sicilia.it/sites/default/files/downloads/2025-03/PRESENZE%20AMMINISTRATIVE%20DEPUTATI%20quarto%20trimestre%202024.pdf,20250419
Adorno,5,3,0,"2024-10,2024-12",Adorno (1),2024-12_2024-10,PRESENZE AMMINISTRATIVE DEPUTATI quarto trimestre 2024.pdf,https://www.ars.sicilia.it/sites/default/files/downloads/2025-03/PRESENZE%20AMMINISTRATIVE%20DEPUTATI%20quarto%20trimestre%202024.pdf,20250419
Albano,15,0,0,"2024-10,2024-12",Albano **,2024-12_2024-10,PRESENZE AMMINISTRATIVE DEPUTATI quarto trimestre 2024.pdf,https://www.ars.sicilia.it/sites/default/files/downloads/2025-03/PRESENZE%20AMMINISTRATIVE%20DEPUTATI%20quarto%20trimestre%202024.pdf,20250419
Albano,15,0,0,"2024-10,2024-12",Albano **,2024-12_2024-10,PRESENZE AMMINISTRATIVE DEPUTATI quarto trimestre 2024.pdf,https://www.ars.sicilia.it/sites/default/files/downloads/2025-03/PRESENZE%20AMMINISTRATIVE%20DEPUTATI%20quarto%20trimestre%202024.pdf,20250419
Amata,15,0,0,"2024-10,2024-12",Amata **,2024-12_2024-10,PRESENZE AMMINISTRATIVE DEPUTATI quarto trimestre 2024.pdf,https://www.ars.sicilia.it/sites/default/files/downloads/2025-03/PRESENZE%20AMMINISTRATIVE%20DEPUTATI%20quarto%20trimestre%202024.pdf,20250419
Amata,15,0,0,"2024-10,2024-12",Amata **,2024-12_2024-10,PRESENZE AMMINISTRATIVE DEPUTATI quarto trimestre 2024.pdf,https://www.ars.sicilia.it/sites/default/files/downloads/2025-03/PRESENZE%20AMMINISTRATIVE%20DEPUTATI%20quarto%20trimestre%202024.pdf,20250419
Aricò,15,0,0,"2024-10,2024-12",Aricò **,2024-12_2024-10,PRESENZE AMMINISTRATIVE DEPUTATI quarto trimestre 2024.pdf,https://www.ars.sicilia.it/sites/default/files/downloads/2025-03/PRESENZE%20AMMINISTRATIVE%20DEPUTATI%20quarto%20trimestre%202024.pdf,20250419
Aricò,15,0,0,"2024-10,2024-12",Aricò **,2024-12_2024-10,PRESENZE AMMINISTRATIVE DEPUTATI quarto trimestre 2024.pdf,https://www.ars.sicilia.it/sites/default/files/downloads/2025-03/PRESENZE%20AMMINISTRATIVE%20DEPUTATI%20quarto%20trimestre%202024.pdf,20250419
